,Year,Real GDP,log Real GDP,diff Real GDP,Real Consumption,log Real Consumption,diff real consumption,Real Investment,log Real Investment,diff Real Investment,Real Gov expenditure,Fed Funds,Labor Hours,log Labor Hours,diff Labor Hours,real Wage,log real wage,diff real wage,log price deflator,inflation
17,1964Q1,38.097976080956755,3.640161159486942,0.018804814783245583,19.641214351425944,2.977630131535561,0.01843428411325876,14.903403863845446,2.701589634099266,0.023021331387601762,8.774149034038638,0.008725,103.67200000000001,4.641232069133113,0.004311309832199406,0.4892479300827967,-0.7148859035114333,0.007941214849548017,2.8560103303788535,0.0031673843751027775
18,1964Q2,38.572739788894,3.652545803892142,0.012384644405200262,19.963285910968334,2.993894882132156,0.016264750596594713,15.02983019733823,2.7100369061187783,0.008447272019512564,8.851537402478202,0.008641666666666667,104.339,4.647645213496182,0.006413144363069279,0.4945502524093622,-0.7041065104145307,0.010779393096902679,2.8583075976423187,0.0022972672634651303
19,1964Q3,39.1440978173923,3.667249652895214,0.014703849003071756,20.283396183293338,3.0098026293617766,0.01590774722962074,15.283967546566108,2.726804406222422,0.016767500103643584,8.913267055193693,0.008941666666666667,105.35700000000001,4.657354583225539,0.009709369729356432,0.49617186607244884,-0.700832908097594,0.00327360231693663,2.8623151601136394,0.004007562471320725
20,1964Q4,39.25260224105568,3.6700177411659034,0.0027680882706895282,20.453899095614585,3.0181735291368126,0.008370899775036023,15.402991866219216,2.7345617675774676,0.007757361355045678,8.884591320175188,0.009933333333333332,106.999,4.672819488623841,0.015464905398302697,0.495933109606962,-0.7013142210149746,-0.0004813129173806274,2.8668187734606527,0.004503613347013324
21,1965Q1,40.36785512167515,3.6980338029523874,0.02801606178648397,20.645161290322577,3.027480971868571,0.009307442731758542,16.089417091114882,2.778161732325349,0.043599964747881526,8.885116015846066,0.010191666666666665,108.059,4.682677374255017,0.009857885631175733,0.496774193548387,-0.699619695065563,0.0016945259494116627,2.871868286331605,0.005049512870952455
22,1965Q2,40.75826713987944,3.707658693708872,0.00962489075648465,20.945298856402456,3.0419142229246767,0.0144332510561056,16.218804574390173,2.7861713452554633,0.008009612930114152,9.002309729029351,0.01018333333333333,108.32,4.685089809163965,0.0024124349089476027,0.4996901583009407,-0.6937670560411787,0.005852639024384265,2.876441852362667,0.004573566031061738
23,1965Q3,41.74196082832931,3.731506877745692,0.023848184036820097,21.27504349290084,3.0575347187770117,0.015620495852334937,16.572198215388067,2.8077264850045993,0.021555139749136032,9.360794657388182,0.010416666666666664,109.34899999999999,4.694544602133545,0.009454792969580517,0.5051349682922723,-0.6829296214703294,0.010837434570849291,2.8802653037452774,0.003823451382610532
24,1965Q4,42.69869579756995,3.7541683763856835,0.02266149863999134,21.770148255489914,3.080539685305487,0.02300496652847528,16.960205105339426,2.8308697237658333,0.02314323876123403,9.61988630030097,0.011391666666666666,110.926,4.70886331232463,0.014318710191084882,0.510366737264519,-0.6726257190114968,0.010303902458832614,2.887144333137092,0.006879029391814395
25,1966Q1,43.822340366616835,3.7801437413814045,0.025975364995721062,22.03023758099352,3.0924159451861284,0.011876259880641449,17.627512875893004,2.8694609130543034,0.03859118928847005,9.802292739657751,0.012283333333333334,112.016,4.718641718234842,0.009778405910211951,0.5151464805892452,-0.6633039904318382,0.009321728579658628,2.8935334212337436,0.006389088096651729
26,1966Q2,43.96594342213678,3.783415321082182,0.003271579700777405,22.27410052183466,3.103424591928071,0.011008646741942574,17.616039549574293,2.8688098250717124,-0.0006510879825909477,9.980774512496566,0.013525,112.541,4.723317599695173,0.004675881460331155,0.5182642131282615,-0.6572701028068831,0.006033887624955048,2.901696281627397,0.008162860393653215
